Net generation from nuclear for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.NUC.H
19:04:35 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.NUC.H megawatthours
11/19/2021 08H,1582
11/19/2021 07H,1583
11/19/2021 06H,1590
11/19/2021 05H,1586
11/19/2021 04H,1586
11/19/2021 03H,1583
11/19/2021 02H,1585
11/19/2021 01H,1606
11/19/2021 00H,1604
11/18/2021 23H,1602
11/18/2021 22H,1604
11/18/2021 21H,1605
11/18/2021 20H,1606
11/18/2021 19H,1631
11/18/2021 18H,1638
11/18/2021 17H,1632
11/18/2021 16H,1605
11/18/2021 15H,1604
11/18/2021 14H,1604
11/18/2021 13H,1604
11/18/2021 12H,1603
11/18/2021 11H,1604
11/18/2021 10H,1604
11/18/2021 09H,1604
11/18/2021 08H,1605
11/18/2021 07H,1605
11/18/2021 06H,1605
11/18/2021 05H,1605
11/18/2021 04H,1606
11/18/2021 03H,1604
11/18/2021 02H,1605
11/18/2021 01H,1603
11/18/2021 00H,1604
11/17/2021 23H,1604
11/17/2021 22H,1603
11/17/2021 21H,1605
11/17/2021 20H,1606
11/17/2021 19H,1608
11/17/2021 18H,1609
11/17/2021 17H,1609
11/17/2021 16H,1609
11/17/2021 15H,1608
11/17/2021 14H,1609
11/17/2021 13H,1608
11/17/2021 12H,1605
11/17/2021 11H,1604
11/17/2021 10H,1607
11/17/2021 09H,1605
11/17/2021 08H,1608
11/17/2021 07H,1606
11/17/2021 06H,1603
11/17/2021 05H,1604
11/17/2021 04H,1608
11/17/2021 03H,1603
11/17/2021 02H,1609
11/17/2021 01H,1606
11/17/2021 00H,1604
11/16/2021 23H,1605
11/16/2021 22H,1605
11/16/2021 21H,1595
11/16/2021 20H,1595
11/16/2021 19H,1598
11/16/2021 18H,1597
11/16/2021 17H,1600
11/16/2021 16H,1594
11/16/2021 15H,1596
11/16/2021 14H,1600
11/16/2021 13H,1598
11/16/2021 12H,1594
11/16/2021 11H,1595
11/16/2021 10H,1593
11/16/2021 09H,1594
11/16/2021 08H,1599
11/16/2021 07H,1596
11/16/2021 06H,1599
11/16/2021 05H,1595
11/16/2021 04H,1598
11/16/2021 03H,1596
11/16/2021 02H,1598
11/16/2021 01H,1598
11/16/2021 00H,1595
11/15/2021 23H,1599
11/15/2021 22H,1598
11/15/2021 21H,1597
11/15/2021 20H,1595
11/15/2021 19H,1596
11/15/2021 18H,1595
11/15/2021 17H,1596
11/15/2021 16H,1595
11/15/2021 15H,1589
11/15/2021 14H,1592
11/15/2021 13H,1589
11/15/2021 12H,1589
11/15/2021 11H,1651
11/15/2021 10H,1780
11/15/2021 09H,2025
11/15/2021 08H,2256
11/15/2021 07H,2267
11/15/2021 06H,2265
11/15/2021 05H,2267
11/15/2021 04H,2266
11/15/2021 03H,2265
11/15/2021 02H,2267
11/15/2021 01H,2267
11/15/2021 00H,2266
11/14/2021 23H,2265
11/14/2021 22H,2265
11/14/2021 21H,2267
11/14/2021 20H,2266
11/14/2021 19H,2268
11/14/2021 18H,2266
11/14/2021 17H,2267
11/14/2021 16H,2268
11/14/2021 15H,2266
11/14/2021 14H,2268
11/14/2021 13H,2269
11/14/2021 12H,2268
11/14/2021 11H,2268
11/14/2021 10H,2267
11/14/2021 09H,2266
11/14/2021 08H,2266
11/14/2021 07H,2267
11/14/2021 06H,2269
11/14/2021 05H,2267
11/14/2021 04H,2265
11/14/2021 03H,2266
11/14/2021 02H,2267
11/14/2021 01H,2268
11/14/2021 00H,2265
11/13/2021 23H,2267
11/13/2021 22H,2267
11/13/2021 21H,2267
11/13/2021 20H,2267
11/13/2021 19H,2269
11/13/2021 18H,2265
11/13/2021 17H,2269
11/13/2021 16H,2269
11/13/2021 15H,2270
11/13/2021 14H,2270
11/13/2021 13H,2269
11/13/2021 12H,2269
11/13/2021 11H,2267
11/13/2021 10H,2268
11/13/2021 09H,2270
11/13/2021 08H,2266
11/13/2021 07H,2267
11/13/2021 06H,2267
11/13/2021 05H,2268
11/13/2021 04H,2266
11/13/2021 03H,2267
11/13/2021 02H,2268
11/13/2021 01H,2268
11/13/2021 00H,2267
11/12/2021 23H,2270
11/12/2021 22H,2269
11/12/2021 21H,2267
11/12/2021 20H,2267
11/12/2021 19H,2269
11/12/2021 18H,2267
11/12/2021 17H,2269
11/12/2021 16H,2268
11/12/2021 15H,2270
11/12/2021 14H,2268
11/12/2021 13H,2267
11/12/2021 12H,2268
11/12/2021 11H,2269
11/12/2021 10H,2269
11/12/2021 09H,2269
11/12/2021 08H,2271
11/12/2021 07H,2270
11/12/2021 06H,2268
11/12/2021 05H,2269
11/12/2021 04H,2269
11/12/2021 03H,2268
11/12/2021 02H,2268
11/12/2021 01H,2268
11/12/2021 00H,2268
11/11/2021 23H,2269
11/11/2021 22H,2269
11/11/2021 21H,2268
11/11/2021 20H,2269
11/11/2021 19H,2269
11/11/2021 18H,2266
11/11/2021 17H,2267
11/11/2021 16H,2266
11/11/2021 15H,2267
11/11/2021 14H,2268
11/11/2021 13H,2267
11/11/2021 12H,2268
11/11/2021 11H,2270
11/11/2021 10H,2268
11/11/2021 09H,2268
11/11/2021 08H,2269
11/11/2021 07H,2273
11/11/2021 06H,2271
11/11/2021 05H,2265
11/11/2021 04H,2266
11/11/2021 03H,2266
11/11/2021 02H,2267
11/11/2021 01H,2267
11/11/2021 00H,2267
11/10/2021 23H,2268
11/10/2021 22H,2266
11/10/2021 21H,2268
11/10/2021 20H,2267
11/10/2021 19H,2267
11/10/2021 18H,2266
11/10/2021 17H,2267
11/10/2021 16H,2269
11/10/2021 15H,2267
11/10/2021 14H,2267
11/10/2021 13H,2268
11/10/2021 12H,2268
11/10/2021 11H,2269
11/10/2021 10H,2268
11/10/2021 09H,2268
11/10/2021 08H,2268
11/10/2021 07H,2267
11/10/2021 06H,2266
11/10/2021 05H,2265
11/10/2021 04H,2266
11/10/2021 03H,2266
11/10/2021 02H,2267
11/10/2021 01H,2266
11/10/2021 00H,2267
11/9/2021 23H,2267
11/9/2021 22H,2267
11/9/2021 21H,2267
11/9/2021 20H,2267
11/9/2021 19H,2268
11/9/2021 18H,2267
11/9/2021 17H,2268
11/9/2021 16H,2268
11/9/2021 15H,2268
11/9/2021 14H,2267
11/9/2021 13H,2268
11/9/2021 12H,2268
11/9/2021 11H,2267
11/9/2021 10H,2267
11/9/2021 09H,2267
11/9/2021 08H,2270
11/9/2021 07H,2270
11/9/2021 06H,2268
11/9/2021 05H,2268
11/9/2021 04H,2268
11/9/2021 03H,2267
11/9/2021 02H,2267
11/9/2021 01H,2266
11/9/2021 00H,2268
11/8/2021 23H,2270
11/8/2021 22H,2271
11/8/2021 21H,2268
11/8/2021 20H,2270
11/8/2021 19H,2272
11/8/2021 18H,2270
11/8/2021 17H,2270
11/8/2021 16H,2270
11/8/2021 15H,2270
11/8/2021 14H,2271
11/8/2021 13H,2271
11/8/2021 12H,2269
11/8/2021 11H,2270
11/8/2021 10H,2272
11/8/2021 09H,2272
11/8/2021 08H,2271
11/8/2021 07H,2271
11/8/2021 06H,2270
11/8/2021 05H,2270
11/8/2021 04H,2268
11/8/2021 03H,2268
11/8/2021 02H,2269
11/8/2021 01H,2269
11/8/2021 00H,2266
11/7/2021 23H,2268
11/7/2021 22H,2268
11/7/2021 21H,2267
11/7/2021 20H,2268
11/7/2021 19H,2270
11/7/2021 18H,2270
11/7/2021 17H,2273
11/7/2021 16H,2269
11/7/2021 15H,2268
11/7/2021 14H,2269
11/7/2021 13H,2270
11/7/2021 12H,2269
11/7/2021 11H,2268
11/7/2021 10H,2270
11/7/2021 09H,2271
11/7/2021 08H,2271
11/7/2021 07H,2270
11/7/2021 06H,2271
11/7/2021 05H,2269
11/7/2021 04H,2268
11/7/2021 03H,2267
11/7/2021 02H,2266
11/7/2021 01H,2266
11/7/2021 00H,2265
11/6/2021 23H,2262
11/6/2021 22H,2264
11/6/2021 21H,2265
11/6/2021 20H,2265
11/6/2021 19H,2266
11/6/2021 18H,2270
11/6/2021 17H,2269
11/6/2021 16H,2267
11/6/2021 15H,2264
11/6/2021 14H,2264
11/6/2021 13H,2266
11/6/2021 12H,2267
11/6/2021 11H,2265
11/6/2021 10H,2265
11/6/2021 09H,2266
11/6/2021 08H,2264
11/6/2021 07H,2266
11/6/2021 06H,2265
11/6/2021 05H,2265
11/6/2021 04H,2266
11/6/2021 03H,2265
11/6/2021 02H,2263
11/6/2021 01H,2264
11/6/2021 00H,2264
11/5/2021 23H,2266
11/5/2021 22H,2267
11/5/2021 21H,2268
11/5/2021 20H,2268
11/5/2021 19H,2265
11/5/2021 18H,2268
11/5/2021 17H,2266
11/5/2021 16H,2267
11/5/2021 15H,2267
11/5/2021 14H,2268
11/5/2021 13H,2268
11/5/2021 12H,2268
11/5/2021 11H,2265
11/5/2021 10H,2267
11/5/2021 09H,2266
11/5/2021 08H,2264
11/5/2021 07H,2265
11/5/2021 06H,2264
11/5/2021 05H,2265
11/5/2021 04H,2264
11/5/2021 03H,2266
11/5/2021 02H,2258
11/5/2021 01H,2243
11/5/2021 00H,2217
11/4/2021 23H,2217
11/4/2021 22H,2216
11/4/2021 21H,2108
11/4/2021 20H,1991
11/4/2021 19H,1872
11/4/2021 18H,1764
11/4/2021 17H,1659
11/4/2021 16H,1572
11/4/2021 15H,1559
11/4/2021 14H,1566
11/4/2021 13H,1554
11/4/2021 12H,1557
11/4/2021 11H,1551
11/4/2021 10H,1549
11/4/2021 09H,1551
11/4/2021 08H,1548
11/4/2021 07H,1553
11/4/2021 06H,1550
11/4/2021 05H,1517
11/4/2021 04H,1521
11/4/2021 03H,1516
11/4/2021 02H,1517
11/4/2021 01H,1512
11/4/2021 00H,1514
11/3/2021 23H,1511
11/3/2021 22H,1492
11/3/2021 21H,1495
11/3/2021 20H,1495
11/3/2021 19H,1395
11/3/2021 18H,1316
11/3/2021 17H,1313
11/3/2021 16H,1310
11/3/2021 15H,1331
11/3/2021 14H,1302
11/3/2021 13H,1295
11/3/2021 12H,1158
11/3/2021 11H,1136
11/3/2021 10H,1135
11/3/2021 09H,1135
11/3/2021 08H,1135
11/3/2021 07H,1135
11/3/2021 06H,1135
11/3/2021 05H,1136
11/3/2021 04H,1136
11/3/2021 03H,1135
11/3/2021 02H,1136
11/3/2021 01H,1137
11/3/2021 00H,1136
11/2/2021 23H,1134
11/2/2021 22H,1134
11/2/2021 21H,1135
11/2/2021 20H,1135
11/2/2021 19H,1135
11/2/2021 18H,1134
11/2/2021 17H,1135
11/2/2021 16H,1135
11/2/2021 15H,1137
11/2/2021 14H,1136
11/2/2021 13H,1136
11/2/2021 12H,1136
11/2/2021 11H,1137
11/2/2021 10H,1137
11/2/2021 09H,1136
11/2/2021 08H,1136
11/2/2021 07H,1136
11/2/2021 06H,1138
11/2/2021 05H,1138
11/2/2021 04H,1137
11/2/2021 03H,1138
11/2/2021 02H,1138
11/2/2021 01H,1138
11/2/2021 00H,1138
11/1/2021 23H,1137
11/1/2021 22H,1138
11/1/2021 21H,1138
11/1/2021 20H,1138
11/1/2021 19H,1139
11/1/2021 18H,1139
11/1/2021 17H,1139
11/1/2021 16H,1139
11/1/2021 15H,1139
11/1/2021 14H,1139
11/1/2021 13H,1139
11/1/2021 12H,1140
11/1/2021 11H,1139
11/1/2021 10H,1138
11/1/2021 09H,1137
11/1/2021 08H,1136
11/1/2021 07H,1134
11/1/2021 06H,1135
11/1/2021 05H,1135
11/1/2021 04H,1135
11/1/2021 03H,1136
11/1/2021 02H,1136
11/1/2021 01H,1135
11/1/2021 00H,1135
10/31/2021 23H,1136
10/31/2021 22H,1136
10/31/2021 21H,1136
10/31/2021 20H,1137
10/31/2021 19H,1138
10/31/2021 18H,1138
10/31/2021 17H,1139
10/31/2021 16H,1139
10/31/2021 15H,1139
10/31/2021 14H,1139
10/31/2021 13H,1139
10/31/2021 12H,1139
10/31/2021 11H,1139
10/31/2021 10H,1140
10/31/2021 09H,1139
10/31/2021 08H,1139
10/31/2021 07H,1139
10/31/2021 06H,1139
10/31/2021 05H,1138
10/31/2021 04H,1138
10/31/2021 03H,1138
10/31/2021 02H,1138
10/31/2021 01H,1138
10/31/2021 00H,1139
10/30/2021 23H,1138
10/30/2021 22H,1138
10/30/2021 21H,1138
10/30/2021 20H,1138
10/30/2021 19H,1138
10/30/2021 18H,1137
10/30/2021 17H,1136
10/30/2021 16H,1136
10/30/2021 15H,1137
10/30/2021 14H,1138
10/30/2021 13H,1139
10/30/2021 12H,1138
10/30/2021 11H,1138
10/30/2021 10H,1136
10/30/2021 09H,1137
10/30/2021 08H,1138
10/30/2021 07H,1140
10/30/2021 06H,1140
10/30/2021 05H,1139
10/30/2021 04H,1139
10/30/2021 03H,1139
10/30/2021 02H,1137
10/30/2021 01H,1138
10/30/2021 00H,1136
10/29/2021 23H,1136
10/29/2021 22H,1136
10/29/2021 21H,1136
10/29/2021 20H,1134
10/29/2021 19H,1135
10/29/2021 18H,1136
10/29/2021 17H,1134
10/29/2021 16H,1136
10/29/2021 15H,1137
10/29/2021 14H,1138
10/29/2021 13H,1140
10/29/2021 12H,1139
10/29/2021 11H,1139
10/29/2021 10H,1139
10/29/2021 09H,1139
10/29/2021 08H,1138
10/29/2021 07H,1139
10/29/2021 06H,1137
10/29/2021 05H,1139
10/29/2021 04H,1137
10/29/2021 03H,1138
10/29/2021 02H,1136
10/29/2021 01H,1138
10/29/2021 00H,1137
10/28/2021 23H,1137
10/28/2021 22H,1138
10/28/2021 21H,1137
10/28/2021 20H,1136
10/28/2021 19H,1138
10/28/2021 18H,1138
10/28/2021 17H,1139
10/28/2021 16H,1138
10/28/2021 15H,1138
10/28/2021 14H,1137
10/28/2021 13H,1137
10/28/2021 12H,1136
10/28/2021 11H,1134
10/28/2021 10H,1134
10/28/2021 09H,1135
10/28/2021 08H,1138
10/28/2021 07H,1137
10/28/2021 06H,1135
10/28/2021 05H,1133
10/28/2021 04H,1131
10/28/2021 03H,1129
10/28/2021 02H,1135
10/28/2021 01H,1132
10/28/2021 00H,1135
10/27/2021 23H,1133
10/27/2021 22H,1131
10/27/2021 21H,1107
10/27/2021 20H,1100
10/27/2021 19H,1031
10/27/2021 18H,859
10/27/2021 17H,701
10/27/2021 16H,565
10/27/2021 15H,484
10/27/2021 14H,461
10/27/2021 13H,459
10/27/2021 12H,458
10/27/2021 11H,457
10/27/2021 10H,462
10/27/2021 09H,459
10/27/2021 08H,457
10/27/2021 07H,458
10/27/2021 06H,461
10/27/2021 05H,455
10/27/2021 04H,458
10/27/2021 03H,455
10/27/2021 02H,459
10/27/2021 01H,454
10/27/2021 00H,455
10/26/2021 23H,457
10/26/2021 22H,458
10/26/2021 21H,486
10/26/2021 20H,481
10/26/2021 19H,484
10/26/2021 18H,449
10/26/2021 17H,448
10/26/2021 16H,449
10/26/2021 15H,448
10/26/2021 14H,448
10/26/2021 13H,449
10/26/2021 12H,449
10/26/2021 11H,449
10/26/2021 10H,449
10/26/2021 09H,448
10/26/2021 08H,448
10/26/2021 07H,449
10/26/2021 06H,447
10/26/2021 05H,449
10/26/2021 04H,446
10/26/2021 03H,448
10/26/2021 02H,446
10/26/2021 01H,451
10/26/2021 00H,478
10/25/2021 23H,487
10/25/2021 22H,537
10/25/2021 21H,1054
10/25/2021 20H,1129
10/25/2021 19H,1130
10/25/2021 18H,1130
10/25/2021 17H,1131
10/25/2021 16H,1132
10/25/2021 15H,1132
10/25/2021 14H,1132
10/25/2021 13H,1131
10/25/2021 12H,1132
10/25/2021 11H,1132
10/25/2021 10H,1133
10/25/2021 09H,1132
10/25/2021 08H,1133
10/25/2021 07H,1133
10/25/2021 06H,1133
10/25/2021 05H,1133
10/25/2021 04H,1133
10/25/2021 03H,1133
10/25/2021 02H,1133
10/25/2021 01H,1135
10/25/2021 00H,1134
10/24/2021 23H,1135
10/24/2021 22H,1134
10/24/2021 21H,1136
10/24/2021 20H,1135
10/24/2021 19H,1136
10/24/2021 18H,1136
10/24/2021 17H,1136
10/24/2021 16H,1136
10/24/2021 15H,1137
10/24/2021 14H,1135
10/24/2021 13H,1135
10/24/2021 12H,1136
10/24/2021 11H,1136
10/24/2021 10H,1137
10/24/2021 09H,1136
10/24/2021 08H,1137
10/24/2021 07H,1136
10/24/2021 06H,1135
10/24/2021 05H,1135
10/24/2021 04H,1135
10/24/2021 03H,1134
10/24/2021 02H,1134
10/24/2021 01H,1134
10/24/2021 00H,1135
10/23/2021 23H,1135
10/23/2021 22H,1133
10/23/2021 21H,1135
10/23/2021 20H,1136
10/23/2021 19H,1134
10/23/2021 18H,1135
10/23/2021 17H,1136
10/23/2021 16H,1135
10/23/2021 15H,1135
10/23/2021 14H,1135
10/23/2021 13H,1135
10/23/2021 12H,1135
10/23/2021 11H,1136
10/23/2021 10H,1137
10/23/2021 09H,1136
10/23/2021 08H,1136
10/23/2021 07H,1136
10/23/2021 06H,1136
10/23/2021 05H,1135
10/23/2021 04H,1135
10/23/2021 03H,1135
10/23/2021 02H,1135
10/23/2021 01H,1135
10/23/2021 00H,1136
10/22/2021 23H,1135
10/22/2021 22H,1136
10/22/2021 21H,1136
10/22/2021 20H,1136
10/22/2021 19H,1137
10/22/2021 18H,1137
10/22/2021 17H,1137
10/22/2021 16H,1137
10/22/2021 15H,1137
10/22/2021 14H,1136
10/22/2021 13H,1137
10/22/2021 12H,1136
10/22/2021 11H,1136
10/22/2021 10H,1137
10/22/2021 09H,1137
10/22/2021 08H,1136
10/22/2021 07H,1138
10/22/2021 06H,1138
10/22/2021 05H,1137
10/22/2021 04H,1137
10/22/2021 03H,1137
10/22/2021 02H,1137
10/22/2021 01H,1137
10/22/2021 00H,1137
10/21/2021 23H,1137
10/21/2021 22H,1138
10/21/2021 21H,1138
10/21/2021 20H,1137
10/21/2021 19H,1137
10/21/2021 18H,1137
10/21/2021 17H,1138
10/21/2021 16H,1136
10/21/2021 15H,1135
10/21/2021 14H,1136
10/21/2021 13H,1136
10/21/2021 12H,1135
10/21/2021 11H,1135
10/21/2021 10H,1136
10/21/2021 09H,1138
10/21/2021 08H,1138
10/21/2021 07H,1137
10/21/2021 06H,1139
10/21/2021 05H,1139
10/21/2021 04H,1138
10/21/2021 03H,1137
10/21/2021 02H,1137
10/21/2021 01H,1138
10/21/2021 00H,1137
10/20/2021 23H,1136
10/20/2021 22H,1133
10/20/2021 21H,1136
10/20/2021 20H,1135
10/20/2021 19H,1136
10/20/2021 18H,1137
10/20/2021 17H,1138
10/20/2021 16H,1137
10/20/2021 15H,1137
10/20/2021 14H,1137
10/20/2021 13H,1137
10/20/2021 12H,1137
10/20/2021 11H,1137
10/20/2021 10H,1136
10/20/2021 09H,1137
10/20/2021 08H,1138
10/20/2021 07H,1139
10/20/2021 06H,1139
10/20/2021 05H,1138
10/20/2021 04H,1139
10/20/2021 03H,1139
10/20/2021 02H,1137
10/20/2021 01H,1138
10/20/2021 00H,1138
10/19/2021 23H,1138
10/19/2021 22H,1139
10/19/2021 21H,1139
10/19/2021 20H,1140
10/19/2021 19H,1141
10/19/2021 18H,1140
10/19/2021 17H,1138
10/19/2021 16H,1139
10/19/2021 15H,1140
10/19/2021 14H,1139
10/19/2021 13H,1139
10/19/2021 12H,1139
10/19/2021 11H,1138
10/19/2021 10H,1137
10/19/2021 09H,1139
10/19/2021 08H,1140
10/19/2021 07H,1139
10/19/2021 06H,1138
10/19/2021 05H,1139
10/19/2021 04H,1137
10/19/2021 03H,1138
10/19/2021 02H,1139
10/19/2021 01H,1139
10/19/2021 00H,1139
10/18/2021 23H,1139
10/18/2021 22H,1141
10/18/2021 21H,1139
10/18/2021 20H,1139
10/18/2021 19H,1140
10/18/2021 18H,1141
10/18/2021 17H,1139
10/18/2021 16H,1138
10/18/2021 15H,1138
10/18/2021 14H,1137
10/18/2021 13H,1137
10/18/2021 12H,1136
10/18/2021 11H,1137
10/18/2021 10H,1136
10/18/2021 09H,1136
10/18/2021 08H,1136
10/18/2021 07H,1138
10/18/2021 06H,1139
10/18/2021 05H,1138
10/18/2021 04H,1139
10/18/2021 03H,1138
10/18/2021 02H,1138
10/18/2021 01H,1137
10/18/2021 00H,1138
10/17/2021 23H,1137
10/17/2021 22H,1138
10/17/2021 21H,1138
10/17/2021 20H,1138
10/17/2021 19H,1137
10/17/2021 18H,1139
10/17/2021 17H,1139
10/17/2021 16H,1140
10/17/2021 15H,1142
10/17/2021 14H,1140
10/17/2021 13H,1140
10/17/2021 12H,1141
10/17/2021 11H,1140
10/17/2021 10H,1139
10/17/2021 09H,1138
10/17/2021 08H,1138
10/17/2021 07H,1139
10/17/2021 06H,1141
10/17/2021 05H,1140
10/17/2021 04H,1140
10/17/2021 03H,1141
10/17/2021 02H,1141
10/17/2021 01H,1141
10/17/2021 00H,1139
10/16/2021 23H,1140
10/16/2021 22H,1141
10/16/2021 21H,1141
10/16/2021 20H,1139
10/16/2021 19H,1140
10/16/2021 18H,1141
10/16/2021 17H,1141
10/16/2021 16H,1141
10/16/2021 15H,1139
10/16/2021 14H,1140
10/16/2021 13H,1141
10/16/2021 12H,1141
10/16/2021 11H,1140
10/16/2021 10H,1141
10/16/2021 09H,1142
10/16/2021 08H,1140
10/16/2021 07H,1140
10/16/2021 06H,1141
10/16/2021 05H,1141
10/16/2021 04H,1142
10/16/2021 03H,1139
10/16/2021 02H,1140
10/16/2021 01H,1140
10/16/2021 00H,2148
10/15/2021 23H,2262
10/15/2021 22H,2264
10/15/2021 21H,2266
10/15/2021 20H,2267
10/15/2021 19H,2264
10/15/2021 18H,2265
10/15/2021 17H,2269
10/15/2021 16H,2269
10/15/2021 15H,2270
10/15/2021 14H,2271
10/15/2021 13H,2270
10/15/2021 12H,2269
10/15/2021 11H,2270
10/15/2021 10H,2271
10/15/2021 09H,2272
10/15/2021 08H,2269
10/15/2021 07H,2268
10/15/2021 06H,2271
10/15/2021 05H,2271
10/15/2021 04H,2271
10/15/2021 03H,2270
10/15/2021 02H,2270
10/15/2021 01H,2272
10/15/2021 00H,2271
10/14/2021 23H,2270
10/14/2021 22H,2270
10/14/2021 21H,2269
10/14/2021 20H,2272
10/14/2021 19H,2273
10/14/2021 18H,2273
10/14/2021 17H,2272
10/14/2021 16H,2274
10/14/2021 15H,2275
10/14/2021 14H,2274
10/14/2021 13H,2273
10/14/2021 12H,2272
10/14/2021 11H,2272
10/14/2021 10H,2272
10/14/2021 09H,2271
10/14/2021 08H,2271
10/14/2021 07H,2272
10/14/2021 06H,2273
10/14/2021 05H,2275
10/14/2021 04H,2271
10/14/2021 03H,2272
10/14/2021 02H,2271
10/14/2021 01H,2273
10/14/2021 00H,2273
10/13/2021 23H,2270
10/13/2021 22H,2271
10/13/2021 21H,2270
10/13/2021 20H,2271
10/13/2021 19H,2271
10/13/2021 18H,2272
10/13/2021 17H,2271
10/13/2021 16H,2270
10/13/2021 15H,2271
10/13/2021 14H,2271
10/13/2021 13H,2271
10/13/2021 12H,2272
10/13/2021 11H,2272
10/13/2021 10H,2271
10/13/2021 09H,2271
10/13/2021 08H,2271
10/13/2021 07H,2270
10/13/2021 06H,2276
10/13/2021 05H,2271
10/13/2021 04H,2271
10/13/2021 03H,2272
10/13/2021 02H,2270
10/13/2021 01H,2272
10/13/2021 00H,2273
10/12/2021 23H,2272
10/12/2021 22H,2273
10/12/2021 21H,2273
10/12/2021 20H,2272
10/12/2021 19H,2273
10/12/2021 18H,2271
10/12/2021 17H,2273
10/12/2021 16H,2272
10/12/2021 15H,2270
10/12/2021 14H,2273
10/12/2021 13H,2271
10/12/2021 12H,2272
10/12/2021 11H,2268
10/12/2021 10H,2272
10/12/2021 09H,2272
10/12/2021 08H,2270
10/12/2021 07H,2268
10/12/2021 06H,2268
10/12/2021 05H,2267
10/12/2021 04H,2266
10/12/2021 03H,2269
10/12/2021 02H,2268
10/12/2021 01H,2268
10/12/2021 00H,2270
10/11/2021 23H,2269
10/11/2021 22H,2269
10/11/2021 21H,2268
10/11/2021 20H,2267
10/11/2021 19H,2268
10/11/2021 18H,2269
10/11/2021 17H,2268
10/11/2021 16H,2267
10/11/2021 15H,2268
10/11/2021 14H,2267
10/11/2021 13H,2269
10/11/2021 12H,2266
10/11/2021 11H,2264
10/11/2021 10H,2266
10/11/2021 09H,2270
10/11/2021 08H,2268
10/11/2021 07H,2268
10/11/2021 06H,2269
10/11/2021 05H,2265
10/11/2021 04H,2267
10/11/2021 03H,2265
10/11/2021 02H,2264
10/11/2021 01H,2266
10/11/2021 00H,2265
10/10/2021 23H,2264
10/10/2021 22H,2265
10/10/2021 21H,2266
10/10/2021 20H,2267
10/10/2021 19H,2267
10/10/2021 18H,2266
10/10/2021 17H,2267
10/10/2021 16H,2268
10/10/2021 15H,2266
10/10/2021 14H,2266
10/10/2021 13H,2267
10/10/2021 12H,2265
10/10/2021 11H,2266
10/10/2021 10H,2269
10/10/2021 09H,2267
10/10/2021 08H,2265
10/10/2021 07H,2265
10/10/2021 06H,2266
10/10/2021 05H,2267
10/10/2021 04H,2266
10/10/2021 03H,2266
10/10/2021 02H,2265
10/10/2021 01H,2268
10/10/2021 00H,2267
10/9/2021 23H,2266
10/9/2021 22H,2267
10/9/2021 21H,2267
10/9/2021 20H,2265
10/9/2021 19H,2268
10/9/2021 18H,2270
10/9/2021 17H,2267
10/9/2021 16H,2266
10/9/2021 15H,2266
10/9/2021 14H,2265
10/9/2021 13H,2265
10/9/2021 12H,2264
10/9/2021 11H,2264
10/9/2021 10H,2266
10/9/2021 09H,2266
10/9/2021 08H,2266
10/9/2021 07H,2264
10/9/2021 06H,2264
10/9/2021 05H,2265
10/9/2021 04H,2264
10/9/2021 03H,2264
10/9/2021 02H,2261
10/9/2021 01H,2260
10/9/2021 00H,2262
10/8/2021 23H,2260
10/8/2021 22H,2263
10/8/2021 21H,2262
10/8/2021 20H,2263
10/8/2021 19H,2262
10/8/2021 18H,2266
10/8/2021 17H,2264
10/8/2021 16H,2265
10/8/2021 15H,2264
10/8/2021 14H,2261
10/8/2021 13H,2261
10/8/2021 12H,2261
10/8/2021 11H,2258
10/8/2021 10H,2257
10/8/2021 09H,2257
10/8/2021 08H,2255
10/8/2021 07H,2256
10/8/2021 06H,2259
10/8/2021 05H,2257
10/8/2021 04H,2259
10/8/2021 03H,2255
10/8/2021 02H,2259
10/8/2021 01H,2258
10/8/2021 00H,2256
10/7/2021 23H,2254
10/7/2021 22H,2254
10/7/2021 21H,2254
10/7/2021 20H,2257
10/7/2021 19H,2262
10/7/2021 18H,2262
10/7/2021 17H,2260
10/7/2021 16H,2258
10/7/2021 15H,2258
10/7/2021 14H,2261
10/7/2021 13H,2261
10/7/2021 12H,2260
10/7/2021 11H,2256
10/7/2021 10H,2255
10/7/2021 09H,2255
10/7/2021 08H,2258
10/7/2021 07H,2265
10/7/2021 06H,2263
10/7/2021 05H,2265
10/7/2021 04H,2259
10/7/2021 03H,2255
10/7/2021 02H,2252
10/7/2021 01H,2254
10/7/2021 00H,2259
10/6/2021 23H,2257
10/6/2021 22H,2253
10/6/2021 21H,2255
10/6/2021 20H,2260
10/6/2021 19H,2267
10/6/2021 18H,2265
10/6/2021 17H,2262
10/6/2021 16H,2261
10/6/2021 15H,2259
10/6/2021 14H,2264
10/6/2021 13H,2265
10/6/2021 12H,2261
10/6/2021 11H,2260
10/6/2021 10H,2258
10/6/2021 09H,2255
10/6/2021 08H,2256
10/6/2021 07H,2262
10/6/2021 06H,2265
10/6/2021 05H,2263
10/6/2021 04H,2258
10/6/2021 03H,2256
10/6/2021 02H,2254
10/6/2021 01H,2262
10/6/2021 00H,2263
10/5/2021 23H,2261
10/5/2021 22H,2257
10/5/2021 21H,2255
10/5/2021 20H,2257
